Geo Point;Geo Shape;visible;user;id;timestamp;amenity;.oms;other_tags
43.1082198949,6.12552961693;"{""type"": ""LineString"", ""coordinates"": [[6.1249628, 43.1088129], [6.1248522, 43.1087004], [6.1246311, 43.1085467], [6.1248795, 43.1083985], [6.1249396, 43.1084401], [6.1259144, 43.1077057], [6.1260768, 43.1075413], [6.1263584, 43.1076882], [6.126196, 43.1078858], [6.1262538, 43.107931], [6.1257266, 43.1083754], [6.1254143, 43.1086183], [6.1253386, 43.1087483], [6.1252566, 43.1087129], [6.1251793, 43.1086538], [6.1249628, 43.1088129]]}";;manuel-128;390772194;2020-04-04T20:32:24+02:00;parking;;"{""source"": ""Bing""}"
43.9221535135,4.78142333363;"{""type"": ""LineString"", ""coordinates"": [[4.781137, 43.9228545], [4.7809989, 43.9227928], [4.78086, 43.9226798], [4.7806914, 43.9224243], [4.7806273, 43.9222461], [4.780658, 43.9220647], [4.7813004, 43.9218212], [4.7809632, 43.9217113], [4.780816, 43.9217266], [4.7807489, 43.9216734], [4.7807531, 43.921629], [4.7807721, 43.9215982], [4.7808315, 43.9215789], [4.7808747, 43.9215926], [4.7822058, 43.9219435], [4.7822615, 43.9220564], [4.7823414, 43.9220272], [4.7823909, 43.9221084], [4.7823083, 43.9221403], [4.782435, 43.9223924], [4.7824167, 43.9224225], [4.781137, 43.9228545]]}";;cOSMografix;131742685;2018-01-12T01:47:25+01:00;parking;;"{""note"": ""v\u00e9rifier le bon emplacement"", ""fee"": ""yes"", ""capacity"": ""569"", ""description"": ""Parking tarif r\u00e9duit"", ""surface"": ""asphalt"", ""access"": ""yes"", ""source"": ""plan gare TGV;IGN France 2017"", ""supervised"": ""yes"", ""maxstay"": ""No"", ""parking"": ""surface"", ""operator"": ""EFFIA"", ""name"": ""P6 longue dur\u00e9e.""}"
43.9205252315,4.7865006144;"{""type"": ""LineString"", ""coordinates"": [[4.7858165, 43.9208715], [4.7856847, 43.9204349], [4.7871525, 43.920205], [4.7871643, 43.9202439], [4.7871663, 43.9202506], [4.7872015, 43.9203673], [4.7872454, 43.9203604], [4.7872853, 43.9204926], [4.7872248, 43.9205021], [4.7872392, 43.9205497], [4.7870591, 43.9205779], [4.7870432, 43.9205253], [4.786879, 43.920551], [4.7868883, 43.9205819], [4.7868167, 43.9205931], [4.7868518, 43.9207093], [4.7858165, 43.9208715]]}";;Patchi;88725309;2020-01-02T23:31:39+01:00;parking;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010"", ""parking"": ""surface"", ""description"": ""Parking v\u00e9hicules de location"", ""name"": ""P3""}"
43.9213528652,4.78580300347;"{""type"": ""LineString"", ""coordinates"": [[4.7845514, 43.9218458], [4.7844721, 43.9217022], [4.7857746, 43.9212771], [4.787045, 43.9208586], [4.7871385, 43.9210064], [4.7863687, 43.9212641], [4.7863606, 43.9212475], [4.7858552, 43.9214081], [4.7853427, 43.921573], [4.7853568, 43.9215946], [4.7845514, 43.9218458]]}";;JLZIMMERMANN;131737483;2015-05-03T14:42:16+02:00;parking;;"{""name"": ""D\u00e9pose minute"", ""parking"": ""surface""}"
43.9202108013,4.78782143487;"{""type"": ""LineString"", ""coordinates"": [[4.7875184, 43.9205433], [4.7874218, 43.9205579], [4.7873844, 43.9204563], [4.7873401, 43.9202794], [4.7873158, 43.9201241], [4.7872721, 43.9199935], [4.7882337, 43.919874], [4.7883754, 43.9204174], [4.7876467, 43.9205244], [4.7875184, 43.9205433]]}";;Gall;131744783;2011-11-16T14:00:55+01:00;parking;;"{""source"": ""plan gare TGV"", ""parking"": ""surface"", ""description"": ""Parking longue dur\u00e9e"", ""name"": ""P3 Est""}"
44.041121275,4.89335226853;"{""type"": ""LineString"", ""coordinates"": [[4.8932869, 44.0410484], [4.8933693, 44.0410309], [4.8934167, 44.0411944], [4.8933373, 44.041213], [4.8932869, 44.0410484]]}";;JLZIMMERMANN;292287829;2014-07-11T12:15:45+02:00;parking;;"{""source"": ""CCPRO 2014""}"
44.1375657954,4.8189515852;"{""type"": ""LineString"", ""coordinates"": [[4.8187996, 44.1376633], [4.818774, 44.1376121], [4.8190512, 44.137505], [4.8190874, 44.1374549], [4.8191121, 44.1374591], [4.8190948, 44.1375117], [4.8190806, 44.1375465], [4.8187996, 44.1376633]]}";;cabinetcourbi;220843839;2018-08-29T08:03:12+02:00;parking;;"{""access"": ""yes"", ""lit"": ""yes"", ""fee"": ""no"", ""capacity"": ""12"", ""source"": ""CCPRO 2017"", ""level"": ""0"", ""operator"": ""SNCF"", ""source:capacity"": ""survey"", ""surface"": ""asphalt""}"
43.3029769152,5.38197975036;"{""type"": ""LineString"", ""coordinates"": [[5.3820211, 43.3029838], [5.3819579, 43.3029505], [5.3819384, 43.3029701], [5.3820017, 43.3030033], [5.3820211, 43.3029838]]}";;Virgile1994;417092650;2016-05-10T22:17:32+02:00;shelter;;"{""level"": ""0""}"
43.2954268818,5.40598452295;"{""type"": ""LineString"", ""coordinates"": [[5.4056566, 43.2955236], [5.4056605, 43.2955374], [5.4056397, 43.2955355], [5.4056307, 43.2955347], [5.4056244, 43.2955629], [5.4056205, 43.2955621], [5.4056107, 43.2955973], [5.4056856, 43.2956127], [5.4056889, 43.2956044], [5.4058021, 43.2956257], [5.4058501, 43.2955956], [5.4058976, 43.2956249], [5.4058715, 43.2956468], [5.4059566, 43.2956618], [5.4060569, 43.2957204], [5.4064359, 43.2953942], [5.4062488, 43.2952776], [5.4061563, 43.2953569], [5.40598, 43.2952474], [5.4060006, 43.2951986], [5.4060137, 43.2951676], [5.405814, 43.2951229], [5.405811, 43.2951219], [5.4057805, 43.2951154], [5.4057509, 43.2952055], [5.4057606, 43.295207], [5.4056566, 43.2955092], [5.4056566, 43.2955236]]}";;M GM;200030349;2019-08-14T16:10:15+02:00;parking;;"{""building"": ""parking"", ""layer"": ""-1"", ""fee"": ""yes"", ""capacity"": ""200"", ""name"": ""Parking relais M\u00e9tro La Blancarde"", ""opening_hours"": ""Mo-Fr 06:30-20:00"", ""access"": ""customers"", ""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre;mise \u00e0 jour : 2015"", ""parking"": ""underground"", ""operator"": ""RTM"", ""park_ride"": ""yes"", ""payment"": ""transpass""}"
43.4563144775,5.31766082597;"{""type"": ""LineString"", ""coordinates"": [[5.3181556, 43.45603], [5.3178875, 43.4563888], [5.3175332, 43.4567633], [5.3172447, 43.4567291], [5.3173386, 43.4564916], [5.317353, 43.4564202], [5.3175728, 43.455896], [5.3181556, 43.45603]]}";;gileri;23695408;2018-12-20T14:09:27+01:00;parking;;"{""lit"": ""yes"", ""fee"": ""yes"", ""capacity"": ""145"", ""name"": ""P4 : Parking Abonn\u00e9s Gare TGV"", ""level"": ""0"", ""ref"": ""P4"", ""parking"": ""surface"", ""access"": ""permissive"", ""capacity:disabled"": ""yes"", ""operator"": ""EFFIA"", ""park_ride"": ""no""}"
