Année,Entité administrative,Id Entité,Activité,Energie,Variable,Valeur,Unite
2017,BEAURECUEIL (13),13012,Tous secteurs,Toutes énergies,co2,1722597.7,kg
2017,BEAUSOLEIL (06),6012,Tous secteurs,Toutes énergies,co2,26701248.3,kg
2017,BEAUVEZER (04),4025,Tous secteurs,Toutes énergies,co2,1919736.2,kg
2017,BÉDARRIDES (84),84016,Tous secteurs,Toutes énergies,co2,35915177.3,kg
2017,BÉDOIN (84),84017,Tous secteurs,Toutes énergies,co2,11530263.8,kg
2017,BELCODÈNE (13),13013,Tous secteurs,Toutes énergies,co2,22678339.1,kg
2017,BELGENTIER (83),83017,Tous secteurs,Toutes énergies,co2,14232120.2,kg
2017,BELLAFFAIRE (04),4026,Tous secteurs,Toutes énergies,co2,770828.3,kg
2017,BELVÉDÈRE (06),6013,Tous secteurs,Toutes énergies,co2,1795348.8,kg
2017,BENDEJUN (06),6014,Tous secteurs,Toutes énergies,co2,1923028.2,kg
2017,BERRE-LES-ALPES (06),6015,Tous secteurs,Toutes énergies,co2,2546923.6,kg
2017,BERRE-L'ÉTANG (13),13014,Tous secteurs,Toutes énergies,co2,1530682147,kg
2017,BESSE-SUR-ISSOLE (83),83018,Tous secteurs,Toutes énergies,co2,10013516.9,kg
2017,BEUIL (06),6016,Tous secteurs,Toutes énergies,co2,4419574.6,kg
2017,BEVONS (04),4027,Tous secteurs,Toutes énergies,co2,1812058.2,kg
2017,BEYNES (04),4028,Tous secteurs,Toutes énergies,co2,803671,kg
2017,BÉZAUDUN-LES-ALPES (06),6017,Tous secteurs,Toutes énergies,co2,926725.7,kg
2017,BIOT (06),6018,Tous secteurs,Toutes énergies,co2,42050353.8,kg
2017,BLAUSASC (06),6019,Tous secteurs,Toutes énergies,co2,509310345.7,kg
2017,BLAUVAC (84),84018,Tous secteurs,Toutes énergies,co2,1429376.6,kg
2017,BLIEUX (04),4030,Tous secteurs,Toutes énergies,co2,291725.5,kg
2017,BOLLENE (84),84019,Tous secteurs,Toutes énergies,co2,128443226.5,kg
2017,BONNIEUX (84),84020,Tous secteurs,Toutes énergies,co2,11499699.5,kg
2017,BONSON (06),6021,Tous secteurs,Toutes énergies,co2,1173741.2,kg
2017,BORMES-LES-MIMOSAS (83),83019,Tous secteurs,Toutes énergies,co2,31485704.6,kg
2017,BOUC-BEL-AIR (13),13015,Tous secteurs,Toutes énergies,co2,88246768.8,kg
2017,BOULBON (13),13017,Tous secteurs,Toutes énergies,co2,5264130.9,kg
2017,BOUYON (06),6022,Tous secteurs,Toutes énergies,co2,3013633.9,kg
2017,BRANTES (84),84021,Tous secteurs,Toutes énergies,co2,511116.8,kg
2017,BRAS (83),83021,Tous secteurs,Toutes énergies,co2,4730645.9,kg
2017,BRAS-D'ASSE (04),4031,Tous secteurs,Toutes énergies,co2,2040873.3,kg
2017,BRAUX (04),4032,Tous secteurs,Toutes énergies,co2,449089.8,kg
2017,BREIL-SUR-ROYA (06),6023,Tous secteurs,Toutes énergies,co2,9251081.4,kg
2017,BRENON (83),83022,Tous secteurs,Toutes énergies,co2,419422.2,kg
2017,BRÉZIERS (05),5022,Tous secteurs,Toutes énergies,co2,1524150.5,kg
2017,BRIANÇON (05),5023,Tous secteurs,Toutes énergies,co2,38646051.4,kg
2017,BRIANÇONNET (06),6024,Tous secteurs,Toutes énergies,co2,1412783.4,kg
2017,BRIGNOLES (83),83023,Tous secteurs,Toutes énergies,co2,141743449.9,kg
2017,BRUE-AURIAC (83),83025,Tous secteurs,Toutes énergies,co2,5053451.5,kg
2017,BRUIS (05),5024,Tous secteurs,Toutes énergies,co2,1449720.8,kg
2017,BRUNET (04),4035,Tous secteurs,Toutes énergies,co2,1799626,kg
2017,BUISSARD (05),5025,Tous secteurs,Toutes énergies,co2,752284.9,kg
2017,BUISSON (84),84022,Tous secteurs,Toutes énergies,co2,3095317.2,kg
2017,BUOUX (84),84023,Tous secteurs,Toutes énergies,co2,1642169.4,kg
2017,CABANNES (13),13018,Tous secteurs,Toutes énergies,co2,43653662.8,kg
2017,CABASSE (83),83026,Tous secteurs,Toutes énergies,co2,31947444.3,kg
2017,CABRIÈRES-D'AIGUES (84),84024,Tous secteurs,Toutes énergies,co2,2254934.9,kg
2017,CABRIÈRES-D'AVIGNON (84),84025,Tous secteurs,Toutes énergies,co2,6877099.2,kg
2017,CABRIÈS (13),13019,Tous secteurs,Toutes énergies,co2,61054920.6,kg
2017,CABRIS (06),6026,Tous secteurs,Toutes énergies,co2,4905257.6,kg
2017,CADENET (84),84026,Tous secteurs,Toutes énergies,co2,13031401.7,kg
2017,CADEROUSSE (84),84027,Tous secteurs,Toutes énergies,co2,10441749.5,kg
2017,CADOLIVE (13),13020,Tous secteurs,Toutes énergies,co2,3826695.9,kg
2017,CAGNES-SUR-MER (06),6027,Tous secteurs,Toutes énergies,co2,160968715.7,kg
2017,CAILLE (06),6028,Tous secteurs,Toutes énergies,co2,1528097.1,kg
2017,CAIRANNE (84),84028,Tous secteurs,Toutes énergies,co2,9008454.2,kg
2017,CALLAS (83),83028,Tous secteurs,Toutes énergies,co2,29754472.7,kg
2017,CALLIAN (83),83029,Tous secteurs,Toutes énergies,co2,7301237.7,kg
2017,CAMARET-SUR-AIGUES (84),84029,Tous secteurs,Toutes énergies,co2,19070647.9,kg
2017,CAMPS-LA-SOURCE (83),83030,Tous secteurs,Toutes énergies,co2,8143423,kg
2017,CANNES (06),6029,Tous secteurs,Toutes énergies,co2,229161647.4,kg
2017,CANTARON (06),6031,Tous secteurs,Toutes énergies,co2,7987400.8,kg
2017,CAP-D'AIL (06),6032,Tous secteurs,Toutes énergies,co2,18697218.1,kg
2017,CARCÈS (83),83032,Tous secteurs,Toutes énergies,co2,7548849.4,kg
2017,CARNOULES (83),83033,Tous secteurs,Toutes énergies,co2,14686859.3,kg
2017,CARNOUX-EN-PROVENCE (13),13119,Tous secteurs,Toutes énergies,co2,14980983.7,kg
2017,CAROMB (84),84030,Tous secteurs,Toutes énergies,co2,8328426.7,kg
2017,CARPENTRAS (84),84031,Tous secteurs,Toutes énergies,co2,101728697.3,kg
2017,CARQUEIRANNE (83),83034,Tous secteurs,Toutes énergies,co2,24491056.2,kg
2017,CARROS (06),6033,Tous secteurs,Toutes énergies,co2,59231226.8,kg
2017,CARRY-LE-ROUET (13),13021,Tous secteurs,Toutes énergies,co2,14501181.7,kg
2017,CASENEUVE (84),84032,Tous secteurs,Toutes énergies,co2,1884779.6,kg
2017,CASSIS (13),13022,Tous secteurs,Toutes énergies,co2,53297400.5,kg
2017,CASTAGNIERS (06),6034,Tous secteurs,Toutes énergies,co2,15461419.8,kg
2017,CASTELLANE (04),4039,Tous secteurs,Toutes énergies,co2,10977547.9,kg
2017,CASTELLAR (06),6035,Tous secteurs,Toutes énergies,co2,1372747.3,kg
2017,CASTELLET (84),84033,Tous secteurs,Toutes énergies,co2,585704.7,kg
2017,CASTELLET-LÈS-SAUSSES (04),4042,Tous secteurs,Toutes énergies,co2,560156,kg
2017,CASTILLON (06),6036,Tous secteurs,Toutes énergies,co2,3492007.8,kg
2017,CAUMONT-SUR-DURANCE (84),84034,Tous secteurs,Toutes énergies,co2,27291174,kg
2017,CAUSSOLS (06),6037,Tous secteurs,Toutes énergies,co2,2247298.9,kg
2017,CAVAILLON (84),84035,Tous secteurs,Toutes énergies,co2,105541966.8,kg
2017,CAVALAIRE-SUR-MER (83),83036,Tous secteurs,Toutes énergies,co2,15704857.5,kg
2017,CEILLAC (05),5026,Tous secteurs,Toutes énergies,co2,2189759.6,kg
2017,CÉRESTE (04),4045,Tous secteurs,Toutes énergies,co2,7630978.4,kg
2017,CERVIÈRES (05),5027,Tous secteurs,Toutes énergies,co2,2360838.9,kg
2017,CEYRESTE (13),13023,Tous secteurs,Toutes énergies,co2,11017287.3,kg
2017,CHABESTAN (05),5028,Tous secteurs,Toutes énergies,co2,1677149.4,kg
2017,CHABOTTES (05),5029,Tous secteurs,Toutes énergies,co2,3752019.4,kg
2017,CHAMPCELLA (05),5031,Tous secteurs,Toutes énergies,co2,733653.1,kg
2017,CHAMPOLÉON (05),5032,Tous secteurs,Toutes énergies,co2,1183308.2,kg
2017,CHAMPTERCIER (04),4047,Tous secteurs,Toutes énergies,co2,3491725.5,kg
2017,CHANOUSSE (05),5033,Tous secteurs,Toutes énergies,co2,588917,kg
2017,CHARLEVAL (13),13024,Tous secteurs,Toutes énergies,co2,5313499.3,kg
2017,CHÂTEAU-ARNOUX-SAINT-AUBAN (04),4049,Tous secteurs,Toutes énergies,co2,75933420.1,kg
2017,CHÂTEAUDOUBLE (83),83038,Tous secteurs,Toutes énergies,co2,2220816.9,kg
2017,CHÂTEAUFORT (04),4050,Tous secteurs,Toutes énergies,co2,229150.4,kg
2017,CHÂTEAUNEUF-DE-GADAGNE (84),84036,Tous secteurs,Toutes énergies,co2,14842955.4,kg
2017,CHÂTEAUNEUF-D'ENTRAUNES (06),6040,Tous secteurs,Toutes énergies,co2,279843.1,kg
2017,CHÂTEAUNEUF-D'OZE (05),5035,Tous secteurs,Toutes énergies,co2,794553.1,kg
2017,CHÂTEAUNEUF-DU-PAPE (84),84037,Tous secteurs,Toutes énergies,co2,10505523.9,kg
2017,CHÂTEAUNEUF-GRASSE (06),6038,Tous secteurs,Toutes énergies,co2,13344192.2,kg
2017,CHÂTEAUNEUF-LE-ROUGE (13),13025,Tous secteurs,Toutes énergies,co2,45337050.1,kg
2017,CHÂTEAUNEUF-LES-MARTIGUES (13),13026,Tous secteurs,Toutes énergies,co2,292265980.1,kg
2017,CHÂTEAUNEUF-MIRAVAIL (04),4051,Tous secteurs,Toutes énergies,co2,367401.3,kg
2017,CHÂTEAUNEUF-VAL-SAINT-DONAT (04),4053,Tous secteurs,Toutes énergies,co2,2163520.1,kg
2017,CHÂTEAUNEUF-VILLEVIEILLE (06),6039,Tous secteurs,Toutes énergies,co2,1863308.5,kg
2017,CHÂTEAUREDON (04),4054,Tous secteurs,Toutes énergies,co2,2711723.7,kg
2017,CHÂTEAURENARD (13),13027,Tous secteurs,Toutes énergies,co2,70342172.6,kg
